time,swell_height,z,eastward_velocity,upward_velocity,northward_velocity,moles_of_oxygen_per_unit_mass,density,electrical_conductivity,pressure,practical_salinity,temperature,flubsct,cdomflo,mass_concentration_of_chlorophyll_a,downwelling_photosynthetic_photon_flux
2020-07-14T15:09:00Z,0.96,-186.0,-0.1602926538,0.026212468,0.0346801462,137.5135180162,1027.760722444,41.2774,187.067,35.5812112161,12.61305,8.165633E-4,0.8959,0.0,-0.2495974089
2020-07-14T21:09:00Z,1.36,-409.0,-0.0210884867,-0.0028143617,-0.0134615703,166.9988363495,1029.3405149728,35.9173877551,412.3618367347,35.1151492291,7.3683632653,0.001539106,0.8432,0.0106,0.1698939306
2020-07-15T03:09:00Z,1.56,-216.0,-0.1174830545,0.0081083197,0.0176660626,131.3378265154,1027.9995520893,40.2901777778,217.3285185185,35.4808123757,11.6927703704,9.294661E-4,0.7905,0.0106,-0.2495974089
2020-07-15T09:09:00Z,2.05,-407.0,-0.0029636294,0.0786349488,-0.1814416995,164.475733924,1029.3230786226,35.9996833333,410.6179166667,35.1195685863,7.4534666667,0.0013809772,0.85374,0.0,0.1698940406
2020-07-15T15:09:00Z,1.58,-238.0,-0.0809798895,0.0424428582,-0.0811519234,128.671011417,1028.1584849634,39.6660458333,240.0504166667,35.4115531378,11.1095666667,8.616829E-4,0.8432,0.0,0.3796398503
2020-07-15T21:09:00Z,1.22,-410.0,0.1190621743,0.0620642112,-0.0280232103,167.8886379742,1029.3515670053,35.8605041667,413.3370833333,35.112197205,7.3095,0.0014803636,0.86428,-0.00212,-0.1237499171
2020-07-16T03:09:00Z,0.85,-256.0,-0.0106177794,0.0496662051,0.1351206757,128.5764916554,1028.2456503125,39.5801326531,257.9316326531,35.3999487319,11.0241979592,7.713244E-4,0.8432,0.0,1.2186227294
2020-07-16T09:09:00Z,0.64,-408.0,0.2412396124,-0.0253556824,0.0995231954,166.4504688588,1029.3289548978,35.989176,411.7412,35.1184650284,7.442706,0.0011777051,0.7905,0.0106,1.0088768096
2020-07-16T15:09:00Z,0.81,-236.0,-0.102154583,0.0259150303,-0.0350250718,130.5555828441,1028.1263578483,39.9149183673,238.0442857143,35.4378859526,11.3407326531,9.337475E-4,0.7905,-6.938893904E-19,-0.165699121
2020-07-16T21:09:00Z,0.71,-409.0,-0.0186673366,-0.0050125873,0.0823636584,159.5790099957,1029.3124818806,36.1653125,412.5133333333,35.1282242409,7.6221375,0.0012454782,0.9486,-0.0106,-0.2495974089
2020-07-17T03:09:00Z,0.69,-237.0,-0.0520106695,0.0826612659,-0.0504467527,130.8844944837,1028.1236840469,39.9653125,238.5958333333,35.4427089076,11.3875395833,0.001290855,0.8432,0.0318,-0.2495974089
2020-07-17T09:09:00Z,0.84,-408.0,-0.0338956845,-0.0415797033,-0.0607439231,161.5561011592,1029.3099371408,36.149122,411.9882,35.1252156962,7.607974,0.0010196052,0.8432,0.0,0.1698939306
2020-07-17T15:09:00Z,0.91,-210.0,-0.0103904602,0.0460693095,0.005336289,140.1759982418,1027.907234217,40.7518978723,211.3495744681,35.5088619491,12.1406744681,9.520729E-4,0.8959,0.0,0.5893855701
2020-07-17T21:09:00Z,1.14,-408.0,0.0087522516,-0.1836583933,-0.1220038839,162.3249013148,1029.3272815974,35.9803583333,411.1445833333,35.118063798,7.4338958333,0.0015616922,0.7378,0.0,-0.4593431287
2020-07-18T03:09:00Z,0.89,-134.0,0.0033568823,-0.0598874138,0.1315636895,180.504640635,1027.3241831462,40.9143041667,135.14,35.3031635502,12.5604458333,0.0016749148,0.7905,0.0106,-0.6690888484
2020-07-18T09:09:00Z,0.71,-408.0,0.0861631158,0.0373389587,0.0350003401,167.5315017985,1029.3532475052,35.7973510204,411.8216326531,35.1104505097,7.243844898,0.0016113778,0.8959,0.00212,0.0020974748
2020-07-18T15:09:00Z,0.64,-208.0,0.0646009571,-0.0396158735,-0.1064385174,140.3536413751,1027.8812416759,40.9800306122,209.3891836735,35.5385903728,12.3439755102,8.843268E-4,0.8432,0.0106,-1.2983260577
